EST;X688_arroz_1;X688_arroz_2;X688_arroz_3;X688_milho_1;X688_milho_2;X688_milho_3;CNPA_arroz_1;CNPA_arroz_2;CNPA_arroz_3;CNPA_milho_1;CNPA_milho_2;CNPA_milho_3;dieta_arroz_1;dieta_arroz_2;dieta_arroz_3;dieta_milho_1;dieta_milho_2;dieta_milho_3;fm993_arroz_1;fm993_arroz_2;fm993_arroz_3;fm993_milho_1;fm993_milho_2;fm993_milho_3;puita_arroz_1;puita_arroz_2;puita_arroz_3;puita_milho_1;puita_milho_2;puita_milho_3
SF1P01056-5-1;8.11;11.39;0;8.76;13.53;0;11.53;9.18;11.1;12.4;9.97;11.03;9.52;9.4;8.51;10.33;8.5;14.51;9.05;8.47;0;9.64;10.76;0;9.63;7.21;10.45;12.37;12.05;0.75
SF1P01065-5-1;0;0.16;0;0.2;1.15;0;0.18;0.2;0.34;0.59;0;0.08;0.18;0;0;0;0.19;0;0;0.17;0;0.21;0.14;0;0;1.12;0;0;0.3;0
SF1P01066-5-1;2.29;25.52;0;2.32;11.66;0;30.45;3.81;11.94;12.27;3.83;7.11;30.27;14.87;1.33;17.85;8.49;2.81;7.72;2.81;0;9.6;5.62;0;2.45;8.02;25.57;2.86;12.19;0.33
SF1P01067-5-1;9.14;8.78;0;5.57;7.19;0;19.43;13.26;21.19;14.31;16.78;14.52;9.64;14.22;12.74;7.96;15.56;14.76;18.74;13.36;0;12.49;8.18;0;8.14;20.87;8.27;9.08;12.53;0.42
SF1P01070-5-1;1.64;1.65;19.11;2.44;2.41;16.07;1.24;2.15;3.16;2.06;2.92;2.67;1.87;2.35;2.54;1.55;3.12;3.05;2.28;2.15;24.72;2.75;3.87;13.28;1.48;4.13;1.68;2.93;2.84;22.87
SF1P01073-5-1;0.37;1.47;0;0.77;1.44;0;1;0.31;2.27;0.55;0.25;0.26;1.43;1.72;0.19;0.87;0.24;0.32;0.59;0.55;0;0.75;0.8;0;0.1;1.65;1.47;0;0.49;0.07
SF1P01076-5-1;4.81;6.4;0.12;3.84;13.43;0.07;9.51;9.32;11.28;10.52;9.94;17.31;6.94;6.33;1.9;12.17;17.23;3.35;8.65;3.77;0.15;15.95;6.96;0;4.41;8.16;6.59;5.14;13.1;1.32
SF1P01084-5-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SF1P01087-5-1;1.06;1.29;0;1.51;0.35;0;0.44;0.96;1.42;1.93;1.79;1.43;0.36;0.52;0.25;0.78;1.12;2.5;0.58;0.72;0;0.58;1.4;0;1.08;1.2;0.55;1.87;1.45;0
SF1P01097-5-1;33.88;27.28;0;21.04;10.7;0;13.69;22.79;19.43;8.98;10.55;15.4;9.6;7.74;33.82;6.83;14.73;24.11;19.81;24.83;0;8.64;15.59;0;19.35;16.28;7.99;22.18;8.31;0.61
SF1P01105-5-1;0;0;602.29;0.35;0;343.65;0;0;0.29;1;1.02;1.12;0;0;1;0.15;0.67;0;0.4;0;363.58;0.49;0;212.74;0.28;0.15;0.39;0;0;325.77
SF1P01112-5-1;15.36;14.14;0;24.53;29.79;0;3.92;1.87;34.06;37.01;6.77;14.28;12.73;47.09;0.46;15.22;36.24;5.26;29.16;28.64;0.09;23.04;65.32;0;1.01;140.98;18.03;0;25.9;2.29
SF1P01118-5-1;0.08;1.58;0;0.39;0.98;0;0.11;0.19;1.72;4.47;0.25;0.79;0.94;0;0;1.4;1.98;4.95;3.64;0.87;0;1.48;1.43;0;0.85;1.36;0.6;0.49;0.57;0
SF1P01119-5-1;8.43;8.63;0;8.7;5.81;0;5.81;13.36;13.65;9.66;14.87;9.09;8.48;5.55;24.62;5.92;10.39;28.19;7.13;9.78;0;9.24;11.24;0;24.34;10.58;6.97;14.88;10.09;0.4
SF1P01120-5-1;11.24;12.21;0;3.31;12.93;0;2.86;1.34;5.03;4.04;2.02;2.29;8.69;2.98;1.63;9.59;4.94;2.01;5.16;11.34;0;2.79;6.33;0;2.16;2.02;8.91;5.41;3.85;0.45
SF1P01123-5-1;7.48;6.49;0;4.5;1.84;0;7.03;19.75;15.75;3.11;7.83;7.88;5.96;8.08;21.83;1.53;5.36;10.73;18.76;4.54;0;8.97;3.29;0;13.02;11.8;4.22;6.58;8.55;0.22
SF1P01126-5-1;6.53;3.46;0;7.88;8.4;0;1.33;0.32;10.19;11.5;1.3;5.3;3.47;12.79;0.5;4.18;15.63;2.02;8.94;11.39;0.1;10.05;23.1;0;0.37;35.34;4.26;0;10.36;0.84
SF1P01127-5-1;0.34;0.62;0;0.72;1.09;0;0.47;0.73;0.73;0.65;1.31;0.72;0.75;0.83;0.2;1.05;0.82;0.4;0.97;0.39;0;0.82;0.57;0;0.72;0.99;0.54;0.08;0.66;0.03
SF1P01138-5-1;1.6;3.29;0.98;1.52;3.45;0;2.43;3.83;4.91;2.21;5.36;2.22;1.61;5.06;0;4.59;3.51;0.75;0.71;2.1;0.22;3.98;2.78;0.43;1.24;3.13;3.06;3.42;2.24;0.86
SF1P01140-5-1;9.75;15.25;0;7.31;16.11;0;10.82;6.73;8.29;14.01;18.02;7.47;15.57;9.13;5.91;17.24;18.85;3.09;9.36;8.05;0.08;9.92;7.28;0;2.8;5.47;15.09;21.63;7.75;1.06
